Name,Date,Open,High,Low,Close,Period,,
Gram18Ayar,4/16/2018,1699860,1726870,1697550,1710480,D,,
Gram18Ayar,4/17/2018,1699630,1714870,1683930,1688320,D,,
Gram18Ayar,4/18/2018,1688090,1701940,1686930,1693170,D,,
Gram18Ayar,4/21/2018,1700320,1727560,1700320,1707250,D,,
Gram18Ayar,4/22/2018,1713020,1713020,1695700,1695700,D,,
Gram18Ayar,4/23/2018,1698710,1699170,1687390,1692700,D,,
Gram18Ayar,4/24/2018,1695010,1710940,1693170,1710710,D,,
Gram18Ayar,4/25/2018,1711400,1716480,1710250,1712100,D,,
Gram18Ayar,4/28/2018,1729640,1734950,1725260,1734950,D,,
Gram18Ayar,4/29/2018,1736110,1770740,1734950,1766120,D,,
Gram18Ayar,4/30/2018,1762890,1790360,1760810,1787820,D,,
Gram18Ayar,5/1/2018,1798670,1843460,1798210,1812520,D,,
Gram18Ayar,5/5/2018,1893090,1990060,1700320,1987750,D,,
Gram18Ayar,5/6/2018,2006220,2084710,1954270,1972740,D,,
Gram18Ayar,5/7/2018,1966050,1966280,1821530,1849230,D,,
Gram18Ayar,5/8/2018,1868160,1941580,1842070,1901180,D,,
Gram18Ayar,5/9/2018,1960740,2031380,1926110,1939270,D,,
Gram18Ayar,5/12/2018,2006910,2013610,1948500,1970430,D,,
Gram18Ayar,5/13/2018,1963510,1963510,1904640,1931190,D,,
Gram18Ayar,5/14/2018,1907180,1909260,1830760,1853850,D,,
Gram18Ayar,5/15/2018,1841380,1868900,1826200,1851800,D,,
Gram18Ayar,5/16/2018,1857600,1867700,1838900,1850400,D,,
Gram18Ayar,5/19/2018,1831900,1854600,1818100,1820400,D,,
Gram18Ayar,5/20/2018,1820400,1849200,1793800,1829600,D,,
Gram18Ayar,5/21/2018,1836800,1904600,1825900,1878100,D,,
Gram18Ayar,5/22/2018,1888500,1896100,1873300,1873500,D,,
Gram18Ayar,5/23/2018,1867700,1886200,1858500,1878100,D,,
Gram18Ayar,5/26/2018,1894500,1896600,1879300,1889600,D,,
Gram18Ayar,5/27/2018,1890800,1909300,1888500,1907000,D,,
Gram18Ayar,5/28/2018,1903500,1938100,1902100,1931000,D,,
Gram18Ayar,5/29/2018,1947400,1977600,1947100,1977100,D,,
Gram18Ayar,5/30/2018,1994900,2008800,1954100,1970000,D,,
Gram18Ayar,6/2/2018,1943890,1953100,1915000,1941600,D,,
Gram18Ayar,6/3/2018,1941600,1976200,1941600,1968100,D,,
Gram18Ayar,6/9/2018,1979400,2013200,1977400,2005100,D,,
Gram18Ayar,6/10/2018,2014300,2051200,2014300,2028200,D,,
Gram18Ayar,6/11/2018,2027000,2069300,2025900,2066900,D,,
Gram18Ayar,6/12/2018,2053300,2106700,2052900,2106200,D,,
Gram18Ayar,6/13/2018,2107300,2178200,2100700,2118200,D,,
Gram18Ayar,6/17/2018,2054700,2111300,2047800,2106700,D,,
Gram18Ayar,6/18/2018,2114500,2145000,2106700,2121700,D,,
Gram18Ayar,6/19/2018,2120000,2162300,2118200,2154000,D,,
Gram18Ayar,6/20/2018,2178900,2209400,2166700,2186100,D,,
Gram18Ayar,6/23/2018,2246800,2396400,2246800,2396400,D,,
Gram18Ayar,6/24/2018,2428700,2740400,2413700,2636500,D,,
Gram18Ayar,6/25/2018,2576700,2592600,2334100,2343300,D,,
Gram18Ayar,6/26/2018,2359000,2432200,2308400,2330600,D,,
Gram18Ayar,6/27/2018,2390200,2394100,2302900,2370800,D,,
Gram18Ayar,6/30/2018,2444900,2472600,2353700,2353700,D,,
Gram18Ayar,7/1/2018,2359500,2457600,2359500,2448300,D,,
Gram18Ayar,7/2/2018,2447200,2495700,2425300,2440700,D,,
Gram18Ayar,7/3/2018,2437900,2440500,2386900,2406600,D,,
Gram18Ayar,7/4/2018,2408200,2409300,2322500,2346800,D,,
Gram18Ayar,7/7/2018,2374500,2374500,2320200,2354800,D,,
Gram18Ayar,7/8/2018,2336400,2375600,2331700,2366400,D,,
Gram18Ayar,7/10/2018,2340500,2340500,2284400,2293900,D,,
Gram18Ayar,7/11/2018,2287000,2298300,2250900,2260200,D,,
Gram18Ayar,7/14/2018,2285600,2371000,2284400,2362900,D,,
Gram18Ayar,7/15/2018,2384800,2414900,2350200,2353700,D,,
Gram18Ayar,7/16/2018,2352800,2368700,2292500,2306100,D,,
Gram18Ayar,7/17/2018,2307300,2368700,2287900,2355100,D,,
Gram18Ayar,7/18/2018,2364100,2400800,2359500,2380000,D,,
Gram18Ayar,7/21/2018,2416000,2511800,2416000,2511800,D,,
Gram18Ayar,7/22/2018,2613400,2680400,2609900,2664200,D,,
Gram18Ayar,7/23/2018,2679000,2791400,2679000,2767600,D,,
Gram18Ayar,7/24/2018,2693100,2795800,2686100,2698800,D,,
Gram18Ayar,7/25/2018,2668800,2742700,2635300,2668800,D,,
Gram18Ayar,7/28/2018,2778500,2874300,2756500,2870800,D,,
Gram18Ayar,7/29/2018,2919300,3222900,2919300,3222900,D,,
Gram18Ayar,7/30/2018,3116700,3329100,3070500,3287500,D,,
Gram18Ayar,7/31/2018,3117800,3266800,2897400,2897400,D,,
Gram18Ayar,8/1/2018,2989700,3084400,2934300,2955100,D,,
Gram18Ayar,8/4/2018,3038200,3038200,2941200,2959700,D,,
Gram18Ayar,8/5/2018,2885800,2885800,2719600,2795800,D,,
Gram18Ayar,8/6/2018,2855800,2862700,2698800,2760000,D,,
Gram18Ayar,8/7/2018,2631900,2731100,2592600,2597200,D,,
Gram18Ayar,8/8/2018,2583400,2874300,2581100,2853500,D,,
Gram18Ayar,8/11/2018,3040500,3068200,2938900,2957400,D,,
Gram18Ayar,8/12/2018,2938920,3940000,2908900,2932000,D,,
Gram18Ayar,8/13/2018,2938900,2975900,2928500,2948200,D,,
Gram18Ayar,8/14/2018,3024300,3031300,2955100,2974700,D,,
Gram18Ayar,8/15/2018,2936600,2966600,2884700,2895100,D,,
Gram18Ayar,8/18/2018,2934300,2936600,2887600,2903100,D,,
Gram18Ayar,8/19/2018,2900830,2947000,2881200,2908900,D,,
Gram18Ayar,8/20/2018,2914700,2934300,2898500,2914100,D,,
Gram18Ayar,8/21/2018,2928500,2966600,2919300,2952800,D,,
Gram18Ayar,8/25/2018,2936600,2948200,2921600,2934300,D,,
Gram18Ayar,8/26/2018,2934900,2959700,2934300,2955100,D,,
Gram18Ayar,8/27/2018,2955100,3054900,2955100,3038200,D,,
Gram18Ayar,8/28/2018,3041700,3105700,3041700,3077400,D,,
Gram18Ayar,8/29/2018,3054400,3093600,3047400,3084400,D,,
Gram18Ayar,9/1/2018,3084400,3188300,3075100,3188300,D,,
Gram18Ayar,9/2/2018,3128200,3331400,3128200,3310600,D,,
Gram18Ayar,9/3/2018,3344100,3557600,3324500,3493000,D,,
Gram18Ayar,9/4/2018,3516100,3654600,3354500,3562300,D,,
Gram18Ayar,9/5/2018,3735400,3809300,3571500,3714600,D,,
Gram18Ayar,9/8/2018,3573800,3576100,3453800,3481500,D,,
Gram18Ayar,9/9/2018,3428400,3474500,3342900,3442200,D,,
Gram18Ayar,9/10/2018,3497600,3705400,3497600,3673100,D,,
Gram18Ayar,9/11/2018,3765400,3906300,3590000,3728500,D,,
Gram18Ayar,9/12/2018,3675400,3748100,3599200,3716900,D,,
Gram18Ayar,9/15/2018,3726200,3830100,3599200,3830100,D,,
Gram18Ayar,9/16/2018,3936300,3977800,3837000,3917800,D,,
Gram18Ayar,9/17/2018,3924700,3947800,3894700,3943200,D,,
Gram18Ayar,9/18/2018,4007800,4024000,4003200,4021700,D,,
Gram18Ayar,9/22/2018,3938600,4044800,3938600,4044800,D,,
Gram18Ayar,9/23/2018,4007800,4231800,3991700,4196000,D,,
Gram18Ayar,9/24/2018,4254900,4591900,4254900,4522700,D,,
Gram18Ayar,9/25/2018,4485700,4903600,4363400,4899000,D,,
Gram18Ayar,9/26/2018,4815900,5577700,4795100,5490000,D,,
Gram18Ayar,9/29/2018,4762800,5046700,4555000,4910500,D,,
Gram18Ayar,9/30/2018,4882810,4990200,4755800,4815900,D,,
Gram18Ayar,10/1/2018,4778900,4848200,4259500,4259500,D,,
Gram18Ayar,10/2/2018,4259500,4074800,4259500,4074800,D,,
Gram18Ayar,10/3/2018,4074800,4088600,4030900,4030900,D,,
Gram18Ayar,10/6/2018,3760000,3596900,3760000,3596900,D,,
Gram18Ayar,10/7/2018,3596900,3779300,3509200,3779300,D,,
Gram18Ayar,10/8/2018,4040200,4097900,3901600,4063200,D,,
Gram18Ayar,10/9/2018,4109400,4363400,4109400,4236400,D,,
Gram18Ayar,10/10/2018,4305700,4414200,4167100,4236400,D,,
Gram18Ayar,10/13/2018,4236400,4236400,4050000,4050000,D,????,
Gram18Ayar,10/14/2018,4050000,4050000,4019000,4019000,D,,
Gram18Ayar,10/15/2018,4019000,4213000,4019000,4213000,D,,
Gram18Ayar,10/16/2018,4213000,4213000,4160000,4160000,D,,
Gram18Ayar,10/17/2018,4160000,4160000,4035000,4035000,D,,
Gram18Ayar,10/20/2018,4035000,4035000,3960000,3960000,D,,
Gram18Ayar,10/21/2018,3960000,4068000,3960000,4068000,D,,
Gram18Ayar,10/22/2018,4068000,4068000,4058000,4058000,D,,
